time,open,high,low,close,Volume,Smoothed HA (Open),Smoothed HA (High),Smoothed HA (Low),Smoothed HA (Close),TDFI,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1636727400,80.905,83.035,79.875,82.725,63820392,76.69939411230823,79.41869865469849,76.30712014693131,78.12091364328015,0.08787744384550027,65.29799589789963,69.74181736159663,NaN,NaN,NaN,NaN,NaN,NaN
1636986600,83.455,83.655,81.045,82.7,69729108,77.41015387779419,79.97331648989346,76.92189092911546,78.6761822225281,0.06168930275700585,65.22000646258772,69.92131416232893,NaN,NaN,NaN,NaN,NaN,NaN
1637073000,82.145,84.70415,82.03,84.41,51590808,78.04316805016114,80.50098077659774,77.50229481044154,79.20148119797415,0.10331752311476779,68.03246338919651,70.22526624035554,NaN,NaN,NaN,NaN,NaN,NaN
1637159400,84.605,85.8425,83.895,84.51,57967932,78.62232462406764,81.03078973623953,78.10215873726506,79.73533072044715,0.08192423322613998,68.19443840249556,70.24421226498434,NaN,NaN,NaN,NaN,NaN,NaN
1637245800,85.84,87.45,84.385,87.095,86841676,79.1788276722574,81.59766053612404,78.71141777134477,80.30616120341017,0.19041745616147454,72.12614515149434,70.41963504029646,NaN,NaN,NaN,NaN,NaN,NaN
1637332200,88.215,89.43505,87.66,88.57,64607152,79.74249443783378,82.23622328526578,79.3600681552689,80.95816677619003,0.2677899771709913,74.094006341648,70.65313940400141,NaN,NaN,NaN,NaN,74.094006341648,NaN
1637591400,89.645,91.68,85.43,85.5,89522396,80.35033060701191,82.97588187650064,80.03743637582247,81.62952862982976,0.05554474736113562,63.970957821144005,70.05304317216523,NaN,NaN,NaN,NaN,NaN,NaN
1637677800,84.725,86.085,81.395,84.335,113012704,80.98992961842085,83.57380599537684,80.537828425599,82.16177818045374,0.016818464019069234,60.588070033134194,68.97240802685876,NaN,NaN,NaN,NaN,NaN,NaN
1637764200,82.655,85.28,81.165,85.115,99120802,81.57585389943729,84.0304723560997,80.89353456055358,82.564093063749,0.018962754197195796,62.035622721555036,67.75844189928773,NaN,NaN,NaN,NaN,NaN,NaN
1637937000,83.39,84.32,79.36,80.42,88841138,82.06997348159314,84.345745792415,81.08095653319081,82.81054871078966,-0.00009003184463299532,50.10610250100152,65.67000716592028,NaN,NaN,NaN,NaN,NaN,NaN
1638196200,83.1,86.08,82.665,85.415,79465946,82.44026109619139,84.61412732276112,81.25878590220613,83.0252653435759,0.009880460487412658,59.11429913829242,64.32447889666331,NaN,NaN,NaN,NaN,NaN,NaN
1638282600,84.84,86.395,80.355,81.745,151292998,82.73276321988364,84.85265951009163,81.34795148304428,83.17919911119063,-5.583030494382115e-8,51.72495632992214,62.93188514702434,NaN,NaN,NaN,NaN,NaN,NaN
1638369000,84.43,85.81,77.235,77.55,152057602,82.95598116553712,85.04398570127678,81.27167550052951,83.21867711724046,-0.004266070704213009,44.827232778551526,61.87198599423429,NaN,NaN,NaN,NaN,NaN,NaN
1638455400,76.71,80.2595,75.825,79.01,198216468,83.08732914138879,85.0138987482263,81.0405593303988,83.07097058848902,-0.00019346690488212457,47.45359276549206,60.91327783817248,NaN,NaN,NaN,NaN,NaN,NaN
1638541800,80,80.64,72.465,75.04,240286878,83.0791498649389,84.84916620120154,80.60235563533945,82.77259776879626,-0.020116627377393843,41.64800700828467,59.2239929174857,NaN,NaN,41.64800700828467,NaN,NaN,NaN
1638801000,75.295,77.64,72.765,76.795,152413966,82.92587381686758,84.50057115067418,80.04992652921412,82.33653504590123,-0.011050965714354195,44.85958360493372,57.76967699908185,NaN,NaN,NaN,NaN,NaN,NaN
1638887400,80.885,84.14,80.87,83.72,135289192,82.6312044313844,84.25529442591869,79.70722848199917,82.04684727120618,0.0005525479815148196,55.31130069037591,56.86102252059466,NaN,NaN,NaN,NaN,NaN,NaN
1638973800,83.945,85,82.735,84.885,102621738,82.33902585129529,84.11571928204374,79.57791066586357,81.92216050397374,0.00011728918746511992,56.794988604667566,56.046776106464094,NaN,NaN,NaN,NaN,56.794988604667566,NaN
1639060200,84.075,85.255,81,81.22,106400964,82.13059317763451,84.05994685409296,79.53835375866987,81.87060455222397,-1.0383278952037477e-7,51.05256592303604,54.541520447288505,NaN,NaN,NaN,NaN,NaN,NaN
1639146600,82.885,83.915,80.89,83.735,101537690,82.00059886492923,84.01781996086663,79.55655603538582,81.86867521089647,0.00020523942879766203,54.45561837691252,53.13877844980739,NaN,NaN,NaN,NaN,NaN,NaN
1639405800,83.735,83.945,79.89,80.135,89572606,81.93463703791285,83.98721204190134,79.57976397152177,81.86928696716826,-5.228865266642297e-7,49.184353112381615,52.082592399181515,NaN,NaN,NaN,NaN,NaN,NaN
1639492200,77.06,78.78,74.915,77.75,115466760,81.90196200254056,83.79458320220057,79.44109278921536,81.71290187947687,-0.0019704706312437376,46.00699195174231,51.04108682193923,NaN,NaN,NaN,NaN,NaN,NaN
1639578600,77.48,83.1345,75.015,82.895,134530604,81.80743194100872,83.64381238546864,79.20194620306924,81.5393952710396,0.000043659992594538094,53.05280262222216,50.39945681484403,NaN,NaN,NaN,NaN,NaN,NaN
1639665000,83.505,83.81,75.475,76.57,148109900,81.67341360602416,83.54837696648383,78.91865150645674,81.36706786304309,-0.00635049045441156,45.237406760202205,50.05169283335835,NaN,NaN,NaN,NaN,NaN,NaN
1639751400,74.415,77.895,73.5,75.4,150136082,81.52024073453363,83.29760195157718,78.54987897380022,81.05122661097789,-0.019299750094349907,43.947706232991656,48.96836476869401,NaN,NaN,NaN,NaN,NaN,NaN
1640010600,72.51,73.625,71.25005,73.145,120932938,81.28573367275577,82.80997233162886,78.06169805611113,80.5614910914639,-0.0703896904471671,41.49240302172661,48.2374681038229,NaN,NaN,41.49240302172661,NaN,NaN,NaN
1640097000,75.08,78.2245,72.855,78.035,109562436,80.92361238210984,82.331956723841,77.56277701018335,80.08446595554251,-0.002146838965847537,48.244964214192784,48.48159177779728,NaN,NaN,NaN,NaN,NaN,NaN
1640183400,77.79,81,77.41165,80.82,88611350,80.50403916882617,81.96793117734364,77.22379260720085,79.73772835362678,0.00001522794345111695,51.666385588788806,48.7825055508899,NaN,NaN,NaN,NaN,NaN,NaN
1640269800,81.085,83.645,80.985,82.74,65654128,80.12088376122648,81.77968494613984,77.12120659835469,79.58416092247239,0.000834373962355028,53.92766826776151,49.65962421228111,NaN,NaN,NaN,NaN,NaN,NaN
1640615400,83.545,86.765,83.5,86.695,62981636,79.85252234184944,81.81847267744507,77.26340252306578,79.6645691405435,0.007913749731985739,58.25969514251034,50.61677503639372,NaN,NaN,NaN,NaN,58.25969514251034,NaN
1640701800,87.38,87.49,85.015,85.675,72412510,79.75854574119647,82.03192652476692,77.6148426867793,79.9407244223748,0.0113108071601859,56.77696708218775,50.721465492951715,NaN,NaN,NaN,NaN,NaN,NaN
1640788200,85.655,86.495,83.9755,85.54,57747338,79.84963508178564,82.32235673579173,78.06037394722291,80.30660194418336,0.013001866113428717,56.57175109043547,50.70551995622085,NaN,NaN,NaN,NaN,NaN,NaN
1640874600,85.385,86.8275,84.385,84.74,56635824,80.0781185129845,82.66570731554249,78.5677006935621,80.71773559285906,0.0071189625596014315,55.29626504611244,51.00864132215488,NaN,NaN,NaN,NaN,NaN,NaN
1640961000,84.315,85.2,82.855,83.165,60248564,80.39792705292179,82.97933184196928,79.04904502148959,81.09761892485324,0.0010669743812617737,52.7735530165082,50.88849379641171,NaN,NaN,NaN,NaN,NaN,NaN
