Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2022-12-22,87.73846435546875,88.65302615695742,86.42626467984668,88.404503433663,23656100
2022-12-23,89.27930450439453,89.56759178585256,87.10225051263735,87.10225051263735,17815000
2022-12-27,87.41043090820312,88.9711536350772,87.01776825998412,88.78227389870408,15470900
2022-12-28,85.94911193847656,87.99693709035492,85.8596473837539,86.98296754860033,17879600
2022-12-29,88.42439270019531,88.836941381303,86.47597522202183,86.5157397727167,18280700
2022-12-30,88.20569610595703,88.30510368722244,86.51573688719586,86.84875645580675,19190300
2023-01-03,89.16995239257812,91.00902666001265,88.49397026434627,89.2991890659961,20738500
2023-01-04,88.18580627441406,90.70085513619036,87.28118746391154,90.47221846747176,27046500
2023-01-05,86.25727081298828,87.68876424810608,86.04851261775232,87.54959211794878,23136100
2023-01-06,87.6390609741211,87.94722673876367,85.06436149382064,86.84378518782233,26612600
2023-01-09,88.27527618408203,90.29327952571856,88.05657496954396,88.66793875795771,22996700
2023-01-10,88.7126693725586,88.94628133969795,86.18767758839076,86.20756365351119,22855600
2023-01-11,91.71483612060547,91.90370824984832,89.209722598814,89.52783140967345,25998800
2023-01-12,91.36690521240234,92.07270889499591,90.03481936118983,91.8540076668631,22754200
2023-01-13,92.25164794921875,92.43058463281527,90.39269504653898,90.98716104056172,18630700
2023-01-17,91.61543273925781,92.42064404459133,90.30322530195482,92.23176432237723,22935800
2023-01-18,91.23766326904297,93.03497831450937,90.85991145043725,92.39081237475276,19641600
2023-01-19,93.35508728027344,93.84218973534244,90.84003073791773,90.84997377129406,28707700
2023-01-20,98.69335174560547,98.83252387671578,95.34326998119155,95.38302694638394,53704800
2023-01-23,100.61195373535156,100.80083346084602,98.16649067523045,98.54424254190658,31791800
2023-01-24,98.62376403808594,100.49265232781845,98.11677552073209,98.96175891109257,27391400
2023-01-25,96.15841674804688,97.14256462213255,94.69908899129159,96.62563310340249,31000900
2023-01-26,98.57406616210938,98.62376616099837,96.2478893027704,97.69926123736444,24542100
2023-01-27,100.1148910522461,100.97975284333953,98.38517505437072,98.4647041445587,29020400
2023-01-30,97.37120056152344,98.82157881968645,96.94374117141328,98.16150859061534,24365100
2023-01-31,99.27987670898438,99.3196412614284,97.21216548777248,97.2817515584713,22306800
2023-02-01,100.83065032958984,101.5861616124197,97.83843429906219,99.15063411433907,26392600
2023-02-02,108.15709686279297,108.17697534441429,105.91044922398623,106.15897195796846,46622600
2023-02-03,104.59825134277344,107.38170146203977,102.6895985322516,102.89835672237317,36823400
2023-02-06,102.85860443115234,104.08133220247117,101.60604755685122,102.07823929917863,25573000
2023-02-07,107.4015884399414,108.02786301562189,102.9361274702672,103.01764365724162,33738800
2023-02-08,99.40908813476562,102.967935310225,97.87321954331826,102.0831950325705,73546000
2023-02-09,94.89591979980469,100.0154896348747,93.3053758197482,99.94590357275698,97798600
2023-02-10,94.2994613647461,96.44669371899901,93.97140955452461,95.17425860769187,49325300
2023-02-13,94.43864440917969,94.7865747401405,93.49426099881285,94.44858744272496,43116600
2023-02-14,94.3889389038086,94.6126154497836,92.1025341183632,94.10065918346037,42513100
2023-02-15,96.5262222290039,96.76480191486125,93.80241536122416,94.18016716252424,36964500
2023-02-16,95.21403503417969,97.30162462318593,94.40882374889603,94.97545531711647,35642100
2023-02-17,94.03105926513672,95.18420840693332,92.89779618954326,94.50822625795546,31095100
2023-02-21,91.50607299804688,92.86300499178121,91.45636541789935,92.68903604557674,28367200
2023-02-22,91.25755310058594,91.8142416108331,90.33304820503282,91.39075637450243,29891100
2023-02-23,90.53186798095703,91.58560202461928,89.4781339372948,91.58560202461928,32423700
2023-02-24,88.822021484375,89.59741118236765,88.33491906102532,89.1003657262891,31295600
2023-02-27,89.56759643554688,89.91552676422651,89.0804939753954,89.55765340206679,22724300
2023-02-28,89.76641082763672,90.90960928912428,88.99101355892734,89.01089962403641,30546900
2023-03-01,89.97518157958984,90.66109923547816,89.31907785690841,89.62725123467364,26323900
2023-03-02,91.76453399658203,91.93353522368606,89.23954205065213,89.32901418080274,23328600
2023-03-03,93.46442413330078,93.55389625915029,92.11246747164465,92.19198898046318,30242500
2023-03-06,95.01521301269531,95.73095969656157,93.74277783440503,93.80242086328992,28288200
2023-03-07,93.6135482788086,95.52220119139895,93.28947819042645,94.85616203715844,24101500
2023-03-08,94.09071350097656,95.67131453092124,93.847158478642,93.847158478642,25395200
2023-03-09,92.11247253417969,95.35320362207727,91.80927448622937,93.9316532375694,24438900
2023-03-10,90.47222137451172,92.62939696087454,90.26346318076489,91.95341479737004,32850100
2023-03-13,91.11837768554688,92.5299849766366,89.40854008369202,90.02984691085952,31508600
2023-03-14,93.69307708740234,94.26965168971365,92.23176209864994,92.5200493998056,32303900
2023-03-15,95.9794921875,96.6753528762777,92.49023054105713,92.98727605713054,38367300
2023-03-16,100.4727783203125,101.36746174833873,95.30350808953607,95.99936876449394,54499500
2023-03-17,101.85456085205078,102.87847334747194,100.1546661871799,100.24413073486728,76140300
2023-03-20,101.32769012451172,101.97385075433145,100.19442705622383,100.46282827373959,26033900
2023-03-21,105.21458435058594,105.33387799702795,101.25810654749462,101.37740019393665,33122800
2023-03-22,103.60416412353516,106.87472438861377,103.5942210900342,104.51872601350209,32336900
2023-03-23,105.63211059570312,106.46813693076098,104.78713477206793,105.26429419948698,31385800
2023-03-24,105.43328857421875,105.53270374123609,104.12108876330139,105.11517975897551,25236200
2023-03-27,102.45101928710938,104.77719624483679,102.02355984015975,104.69766714207576,25393400
2023-03-28,100.76106262207031,102.39137122709658,99.68744254042502,102.39137122709658,24913500
2023-03-29,101.2978744506836,102.21243635075396,100.43301255004236,102.11302876758326,26148300
2023-03-30,100.72129821777344,101.00958551331465,99.69738571751707,100.84059186623224,25009800
2023-03-31,103.38546752929688,103.57434725272469,100.84059690940194,101.10899815146695,28108000
2023-04-03,104.29008483886719,104.32984180253301,101.77502837337397,102.0633156579794,20719900
2023-04-04,104.49884033203125,105.47304518726759,103.98190880596509,104.22048850336617,20377200
2023-04-05,104.32984161376953,105.9104501597034,103.48685291737547,105.49293378315937,21864200
2023-04-06,108.25650024414062,108.9821823520309,104.19563983836333,105.14499088130714,34684200
2023-04-10,106.31803131103516,107.33200839632084,104.97600995398065,106.75543378581037,19741500
2023-04-11,105.4929428100586,106.58644142594838,104.65790240120513,106.28821108329086,18721300
2023-04-12,104.59825134277344,106.9512614140049,104.34972860439365,106.75542689167506,22761600
2023-04-13,107.55071258544922,107.62526638009905,105.81105325670053,105.84087477456046,21650700
2023-04-14,108.81319427490234,108.93248791903325,106.95424147150061,107.05365663376573,20758700
2023-04-17,105.7911605834961,106.07944787866414,104.69766201913224,104.80701263399986,29043400
2023-04-18,104.49884033203125,106.4174361126796,104.16084547509386,106.36772853291144,17641400
2023-04-19,104.39942932128906,105.10026526858702,103.18664472045603,103.5991857948162,16732000
2023-04-20,105.27422332763672,106.2563840633946,104.02166672356141,104.03160975574373,22515300
2023-04-21,105.28418731689453,106.00986954011451,104.86169558462835,105.4631164259245,22379000
2023-04-24,106.14903259277344,106.68584262684091,104.73742523521389,105.42335043168548,21410900
2023-04-25,103.99185943603516,106.80513876785498,103.94215185263556,105.98004142302092,31408100
2023-04-26,103.83280181884766,106.38761538307796,102.65977413657583,104.93624343455728,37068200
2023-04-27,107.7296371459961,108.50502686029249,103.80297340982443,104.60819222293463,38235200
2023-04-28,107.58052825927734,107.6501143252747,105.41340959552954,107.16301186329322,23957900
2023-05-01,107.07353210449219,108.0378015105749,106.86477392136787,107.08347513730149,20926300
2023-05-02,105.353759765625,107.09341888762843,103.8825018567763,107.02383282612077,20343100
2023-05-03,105.4929428100586,107.4910603192009,104.99589729517118,105.59235039617354,17116300
2023-05-04,104.58831024169922,105.67187334489411,104.08132172243144,105.53270121557547,19780600
2023-05-05,105.58737182617188,105.81104836841347,104.12009557447168,104.69766371909814,20710600
2023-05-08,107.60040283203125,107.77933950728118,105.16488302631305,105.16985075073507,17266000
2023-05-09,107.30218505859375,109.94149545235717,107.0884515495688,108.13721785883672,24782400
2023-05-10,111.61653900146484,112.83927429852315,107.8389976594907,107.90858372782328,47533500
2023-05-11,116.209228515625,117.7401294221333,114.25086821584289,115.17537306249038,57115100
2023-05-12,117.22320556640625,117.56120044063749,115.8613057890932,116.30864369264772,31293800
2023-05-15,116.26888275146484,118.09303883107891,115.79172331744213,115.80165876676296,22107900
2023-05-16,119.38037872314453,120.48382028603581,116.13964768201407,116.13964768201407,32370100
2023-05-17,120.76216888427734,121.55743707354654,118.75410096892553,119.4698476482861,26659600
2023-05-18,122.79010772705078,123.16786713253545,120.77210436265678,120.84169042403892,27014500
2023-05-19,122.5217056274414,125.73162150009853,121.99483865446035,123.4660889656929,30268900
2023-05-22,125.1262435913086,126.29927133740715,122.72053747858926,122.78018809911146,29760200
2023-05-23,122.56147766113281,124.67888871518839,122.32289794987737,124.19178625928413,24477900
2023-05-24,120.92122650146484,122.02466809875662,120.03648613380743,121.1598062136513,23087900
2023-05-25,123.6152114868164,125.23558463346622,122.17378260373123,124.47013033387633,33812700
2023-05-26,124.6888198852539,125.25545138576945,122.56146600020878,123.33188795218197,25154700
2023-05-30,123.90349578857422,125.63321192337389,122.16383662063609,125.54374737806401,27230700
2023-05-31,122.6410140991211,124.16197217390386,122.37260527162253,122.96905837761207,41548800
2023-06-01,123.63508605957031,124.30112513207958,122.57140911632169,122.7702242595356,25017700
2023-06-02,124.49002075195312,125.99606802817152,123.61521580755893,123.7543879424739,19367500
2023-06-05,125.8817367553711,127.23370108082872,123.64503207367736,123.87367633379232,22672500
2023-06-06,127.15418243408203,128.11845190986426,125.22564348251753,125.85191807715903,19450100
2023-06-07,122.21353912353516,128.78448065727076,121.9053657835455,126.82114503901855,34179300
2023-06-08,121.94513702392578,122.99887860560641,121.28904092996633,121.8606402019021,24815000
2023-06-09,122.14395904541016,123.55059866461696,121.69661356260366,121.83578569032689,20304500
2023-06-12,123.6152114868164,124.01284939452302,121.62702953259559,122.66585278344103,22255700
